ZIP_CODE,pop_density_meters,population,population_error,land_area_sq_meter,land_area_error,ZCTA
00791,124.76407506702412,46537.0,911.0,373.0,125.0,00791
00794,164.73837209302326,28335.0,450.0,172.0,91.0,00794
00795,84.11764705882354,42900.0,906.0,510.0,177.0,00795
00901,46.70454545454545,8220.0,723.0,176.0,79.0,00901
00906,0.0,148.0,108.0,0.0,15.0,00906
00907,15.477166821994409,16607.0,1212.0,1073.0,236.0,00907
00909,9.65137614678899,5260.0,812.0,545.0,143.0,00909
00911,8.308323563892145,7087.0,744.0,853.0,201.0,00911
00912,9.133435582822086,5955.0,718.0,652.0,117.0,00912
00913,3.1610017889087656,7068.0,966.0,2236.0,273.0,00913
00915,5.845080416272469,24713.0,1407.0,4228.0,368.0,00915
00917,11.097546379413524,18544.0,1595.0,1671.0,255.0,00917
00918,10.287186091435931,15976.0,1478.0,1553.0,312.0,00918
00920,6.749804839968775,17293.0,1314.0,2562.0,259.0,00920
00921,14.475841242450388,33555.0,1883.0,2318.0,365.0,00921
00923,19.496062992125985,24760.0,1662.0,1270.0,205.0,00923
00924,41.84888888888889,47080.0,2072.0,1125.0,212.0,00924
00925,5.606458123107972,5556.0,803.0,991.0,210.0,00925
00926,61.80026367831246,93751.0,3432.0,1517.0,290.0,00926
00927,41.092537313432835,13766.0,1593.0,335.0,158.0,00927
00934,4.7407407407407405,128.0,143.0,27.0,32.0,00934
00949,112.07742998352553,68031.0,1397.0,607.0,143.0,00949
00950,,0.0,15.0,0.0,15.0,00950
00951,29.8,298.0,160.0,10.0,16.0,00951
00952,45.63128491620112,8168.0,1094.0,179.0,91.0,00952
00953,82.08571428571429,66079.0,1137.0,805.0,171.0,00953
00956,44.57752200406229,65841.0,2180.0,1477.0,214.0,00956
00957,49.053827751196174,41009.0,1955.0,836.0,197.0,00957
00959,34.1107934238742,47721.0,2170.0,1399.0,228.0,00959
00960,0.0,3405.0,152.0,0.0,15.0,00960
00961,83.63142857142857,29271.0,1518.0,350.0,126.0,00961
00962,29.539156626506024,19614.0,516.0,664.0,130.0,00962
00965,17.510204081632654,5148.0,595.0,294.0,117.0,00965
00966,101.54938271604938,16451.0,1598.0,162.0,99.0,00966
00968,126.92857142857143,3554.0,478.0,28.0,26.0,00968
00969,148.69750889679716,41784.0,2020.0,281.0,103.0,00969
00971,128.3009708737864,26430.0,1818.0,206.0,94.0,00971
00976,77.62972292191436,61638.0,1783.0,794.0,262.0,00976
00979,126.99248120300751,16890.0,1236.0,133.0,80.0,00979
00982,98.41134751773049,13876.0,1217.0,141.0,84.0,00982
00983,228.89208633093526,31816.0,1834.0,139.0,87.0,00983
00985,176.31147540983608,32265.0,1663.0,183.0,76.0,00985
00987,151.99157303370785,54109.0,2189.0,356.0,229.0,00987
01001,29.279197080291972,16045.0,946.0,548.0,188.0,01001
01002,148.33548387096775,22992.0,308.0,155.0,82.0,01002
01003,0.0,11989.0,205.0,0.0,21.0,01003
01005,43.972727272727276,4837.0,465.0,110.0,80.0,01005
01007,243.93650793650792,15368.0,59.0,63.0,56.0,01007
01008,123.1,1231.0,218.0,10.0,7.0,01008
01009,0.0,699.0,335.0,0.0,14.0,01009
01010,48.03896103896104,3699.0,20.0,77.0,49.0,01010
01011,65.9,1318.0,257.0,20.0,18.0,01011
01012,19.130434782608695,440.0,120.0,23.0,21.0,01012
01013,24.778138528138527,22895.0,1152.0,924.0,271.0,01013
01020,31.164959016393443,30417.0,1169.0,976.0,267.0,01020
01022,38.981818181818184,2144.0,423.0,55.0,40.0,01022
01026,23.32608695652174,1073.0,209.0,46.0,29.0,01026
01027,46.97877984084881,17711.0,154.0,377.0,107.0,01027
01028,42.377604166666664,16273.0,140.0,384.0,122.0,01028
01029,6.756410256410256,527.0,156.0,78.0,52.0,01029
01030,67.53225806451613,12561.0,946.0,186.0,94.0,01030
01031,65.26923076923077,1697.0,240.0,26.0,28.0,01031
01032,14.666666666666666,484.0,118.0,33.0,49.0,01032
01033,14.904645476772616,6096.0,22.0,409.0,276.0,01033
01034,93.86363636363636,2065.0,247.0,22.0,15.0,01034
01035,67.0253164556962,5295.0,18.0,79.0,72.0,01035
01036,65.34210526315789,4966.0,16.0,76.0,68.0,01036
01037,0.0,582.0,175.0,0.0,14.0,01037
01038,68.58333333333333,2469.0,310.0,36.0,33.0,01038
01039,0.0,1728.0,239.0,0.0,14.0,01039
01040,32.244725738396625,38210.0,38.0,1185.0,205.0,01040
01050,87.54838709677419,2714.0,280.0,31.0,32.0,01050
01053,78.54166666666667,1885.0,385.0,24.0,24.0,01053
01054,199.22222222222223,1793.0,173.0,9.0,7.0,01054
01056,26.501269035532996,20883.0,27.0,788.0,260.0,01056
01057,58.262411347517734,8215.0,189.0,141.0,82.0,01057
01060,44.34939759036145,14724.0,693.0,332.0,116.0,01060
01062,72.45038167938931,9491.0,647.0,131.0,64.0,01062
01063,0.0,2089.0,108.0,0.0,14.0,01063
01066,0.0,134.0,131.0,0.0,14.0,01066
01068,60.96153846153846,1585.0,130.0,26.0,16.0,01068
01069,50.69047619047619,8516.0,506.0,168.0,89.0,01069
01070,57.1,571.0,106.0,10.0,12.0,01070
01071,125.9,1259.0,226.0,10.0,15.0,01071
01072,37.18421052631579,1413.0,213.0,38.0,24.0,01072
01073,475.7692307692308,6185.0,29.0,13.0,22.0,01073
01074,0.0,694.0,466.0,0.0,14.0,01074
01075,31.40366972477064,17115.0,39.0,545.0,158.0,01075
01077,27.511904761904763,9244.0,29.0,336.0,129.0,01077
01079,64.0,640.0,237.0,10.0,16.0,01079
01080,106.96,2674.0,475.0,25.0,34.0,01080
01081,36.51063829787234,1716.0,245.0,47.0,27.0,01081
01082,82.93700787401575,10533.0,152.0,127.0,78.0,01082
01083,0.0,2539.0,554.0,0.0,14.0,01083
01084,24.75,99.0,46.0,4.0,6.0,01084
01085,46.94356659142212,41592.0,146.0,886.0,253.0,01085
01088,90.625,725.0,291.0,8.0,12.0,01088
01089,26.35655362053162,28755.0,51.0,1091.0,334.0,01089
01092,0.0,1428.0,455.0,0.0,14.0,01092
01093,0.0,145.0,81.0,0.0,14.0,01093
01094,0.0,44.0,36.0,0.0,14.0,01094
01095,66.0945945945946,14673.0,65.0,222.0,101.0,01095
01096,32.256410256410255,2516.0,290.0,78.0,40.0,01096
01097,0.0,36.0,42.0,0.0,14.0,01097
01098,29.71875,951.0,108.0,32.0,20.0,01098
01103,26.1046511627907,2245.0,243.0,86.0,64.0,01103
01104,15.953422724064925,22606.0,1735.0,1417.0,506.0,01104
01105,44.77695167286245,12045.0,1637.0,269.0,123.0,01105
01106,37.34032634032634,16019.0,145.0,429.0,123.0,01106
01107,26.19578947368421,12443.0,1349.0,475.0,259.0,01107
01108,23.96889295516926,26198.0,1674.0,1093.0,299.0,01108
01109,33.33439829605964,31301.0,1994.0,939.0,230.0,01109
01118,13.651309846431797,15112.0,1114.0,1107.0,223.0,01118
01119,25.325,14182.0,1268.0,560.0,263.0,01119
01128,78.53846153846153,3063.0,884.0,39.0,30.0,01128
01129,59.5045871559633,6486.0,470.0,109.0,56.0,01129
01144,,0.0,14.0,0.0,14.0,01144
01151,33.81071428571428,9467.0,930.0,280.0,97.0,01151
01201,18.915027208036836,45188.0,281.0,2389.0,382.0,01201
01220,27.07308970099668,8149.0,42.0,301.0,97.0,01220
01222,0.0,623.0,234.0,0.0,14.0,01222
01223,38.28358208955224,2565.0,274.0,67.0,37.0,01223
01224,0.0,124.0,83.0,0.0,14.0,01224
01225,52.24193548387097,3239.0,22.0,62.0,62.0,01225
01226,39.575,6332.0,29.0,160.0,104.0,01226
01229,8.928571428571429,125.0,83.0,14.0,22.0,01229
01230,24.58108108108108,9095.0,569.0,370.0,169.0,01230
01235,21.21551724137931,2461.0,237.0,116.0,53.0,01235
01236,22.26027397260274,1625.0,345.0,73.0,58.0,01236
01237,84.51724137931035,2451.0,266.0,29.0,22.0,01237
01238,34.666666666666664,5928.0,94.0,171.0,90.0,01238
01240,64.76315789473684,4922.0,294.0,76.0,82.0,01240
01242,0.0,255.0,286.0,0.0,14.0,01242
01243,0.0,135.0,56.0,0.0,14.0,01243
01244,79.0,158.0,78.0,2.0,3.0,01244
01245,27.6,828.0,196.0,30.0,21.0,01245
01247,31.83125,15279.0,223.0,480.0,169.0,01247
01253,45.44444444444444,818.0,160.0,18.0,21.0,01253
01254,48.05,961.0,146.0,20.0,12.0,01254
01255,28.21212121212121,931.0,141.0,33.0,16.0,01255
01256,29.523809523809526,620.0,146.0,21.0,16.0,01256
01257,35.96774193548387,2230.0,356.0,62.0,50.0,01257
01258,47.0,188.0,50.0,4.0,5.0,01258
01259,81.44444444444444,733.0,246.0,9.0,14.0,01259
01260,0.0,20.0,32.0,0.0,14.0,01260
01262,27.890625,1785.0,311.0,64.0,38.0,01262
01264,103.5,207.0,50.0,2.0,3.0,01264
01266,28.848484848484848,952.0,140.0,33.0,25.0,01266
01267,27.883561643835616,8142.0,111.0,292.0,93.0,01267
01270,58.76470588235294,999.0,167.0,17.0,16.0,01270
01301,25.689655172413794,17880.0,69.0,696.0,199.0,01301
01330,53.56666666666667,1607.0,205.0,30.0,21.0,01330
01331,31.18243243243243,13845.0,260.0,444.0,121.0,01331
01337,26.847826086956523,2470.0,233.0,92.0,42.0,01337
01338,0.0,65.0,46.0,0.0,14.0,01338
01339,69.8,1396.0,180.0,20.0,17.0,01339
01340,135.0,1890.0,223.0,14.0,18.0,01340
01341,231.42857142857142,1620.0,205.0,7.0,11.0,01341
01342,0.0,1321.0,316.0,0.0,14.0,01342
01343,15.181818181818182,167.0,65.0,11.0,11.0,01343
01344,33.285714285714285,1631.0,189.0,49.0,21.0,01344
01346,0.0,409.0,112.0,0.0,14.0,01346
01347,0.0,197.0,150.0,0.0,14.0,01347
01349,0.0,764.0,253.0,0.0,14.0,01349
01350,0.0,103.0,60.0,0.0,14.0,01350
01351,0.0,2741.0,491.0,0.0,14.0,01351
01354,38.82222222222222,1747.0,253.0,45.0,19.0,01354
01355,112.11111111111111,1009.0,211.0,9.0,10.0,01355
01360,55.21153846153846,2871.0,29.0,52.0,42.0,01360
01364,64.77118644067797,7643.0,40.0,118.0,58.0,01364
01366,45.26923076923077,1177.0,105.0,26.0,16.0,01366
01367,36.0,504.0,87.0,14.0,9.0,01367
01368,121.25,1455.0,291.0,12.0,11.0,01368
